"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Restful Booker API","0","Search and Filter","1","0","Filter bookings by check-out date","0"
"0","Restful Booker API","0","Authentication","1","0","Verify empty body does not return token","0"
"0","Restful Booker API","0","Booking Management","6","0","Retrieve All Bookings","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with negative totalprice and verify response","0"
"0","Restful Booker API","0","Authentication","1","0","Verify wrong username returns Bad credentials","0"
"0","Restful Booker API","0","Booking Management","1","0","Reject deletion with invalid numeric token","0"
"0","Restful Booker API","0","Authentication","2","0","Verify valid credentials return token","0"
"0","Restful Booker API","4","Booking Management","6","0","Partial Update Booking (PATCH)","0"
"0","Restful Booker API","0","Booking Management","1","0","Delete booking with valid token and valid id","0"
"0","Restful Booker API","0","Search and Filter","1","0","Filter bookings by check-in date","0"
"0","Restful Booker API","0","System Health","3","0","Verify API Availability","0"
"0","Restful Booker API","0","Search and Filter","1","0","Filter with no matching results","0"
"0","Restful Booker API","0","Booking Management","1","0","Handle negative booking id gracefully","0"
"0","Restful Booker API","0","Search and Filter","1","0","Boundary Testing: Large Filter Value","0"
"0","Restful Booker API","0","Booking Management","2","0","Retrieve booking by valid ID","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with empty body and verify response","0"
"0","Restful Booker API","0","Booking Management","6","0","","0"
"0","Restful Booker API","0","Search and Filter","1","0","Filter by check-in and check-out range","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with checkout date before checkin date and verify response","0"
"0","Restful Booker API","2","Booking Management","5","0","Full Update Booking (PUT)","0"
"0","Restful Booker API","1","Search and Filter","0","0","Filter with invalid date format","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with checkin date equal to checkout date and verify response","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with empty first name and verify response","0"
"0","Restful Booker API","0","Create Booking","1","0","Create a booking with extra field and verify response","0"
"0","Restful Booker API","0","Booking Management","1","0","Reject deletion of already deleted booking","0"
"0","Restful Booker API","0","Authentication","1","0","Verify username as integer does not cause server error and returns 'Bad credentials'","0"
"0","Restful Booker API","0","Search and Filter","1","0","Filter bookings by first name","0"
"0","Restful Booker API","0","Authentication","1","0","Verify no Content-Type header does not cause server error","0"
"0","Restful Booker API","0","Create Booking","1","0","Create a booking and verify response matches request","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with totalprice as String and verify response","0"
"0","Restful Booker API","0","Authentication","1","0","Security: SQL Injection Defense","0"
"0","Restful Booker API","0","Authentication","1","0","Boundary Testing: Large Input Handling","0"
"0","Restful Booker API","0","Booking Management","1","0","Reject deletion of non-existing booking id","0"
"0","Restful Booker API","0","Booking Management","1","0","Reject deletion without authentication token","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with Invalid checkin format and verify response","0"
"0","Restful Booker API","0","Search and Filter","1","0","Security: SQL Injection Defense","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with depositpaid as String and verify response","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with missing required field and verify response","0"
"0","Restful Booker API","1","Create Booking","0","0","Create a booking with missing booking dates and verify response","0"
"0","Restful Booker API","0","Create Booking","1","0","Create a booking with valid data and verify response","0"
"0","Restful Booker API","0","Booking Management","1","0","Reject deletion with empty token","0"
"0","Restful Booker API","0","Authentication","1","0","Verify empty username returns Bad credentials","0"
"0","Restful Booker API","0","Authentication","1","0","Input Validation: Special Characters","0"
"0","Restful Booker API","0","Search and Filter","1","0","Filter bookings by last name","0"
"0","Restful Booker API","0","Create Booking","1","0","Create a booking with additionalneeds as null and verify response","0"
"0","Restful Booker API","0","Authentication","1","0","Verify wrong password returns Bad credentials","0"
